Sl. Number,Exhibitors Name,Buisness Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
1,7Generation LLC,IT & Telecom Data Analytics,"AI-driven telecom traffic analysis, lawful interception, OSINT & SIGINT solutions",<$5M,Dauren Tulebaev,Kakhar Kashimov,"Astana, Kazakhstan","Telecom operators, government agencies, corporate clients"
2,Acceleronix B.V.,IoT Connectivity & Platform Solutions,"IoT platform (AcceleronixCore), global SIM connectivity, eSIM solutions, consultancy",€300k,Gal Olshinka,Jeremy Tan (Head of APAC),"Amsterdam, Netherlands","OEMs, enterprises in IoT and telecom sectors"
3,Advance Solutions,Digital Transformation & IT Advisory,"ServiceNow implementation, cloud-based service management, workflow apps",$64.4M,Gaurav Kochhar,Parshant Dhand,"Alpharetta, Georgia, USA","Financial services, healthcare, retail, public sector"
4,Advanced Communications & Electronics Systems Co (ACES,Telecom Infrastructure & ICT Solutions,"Neutral Host services, EPC contracting, data centers, cybersecurity, smart solutions",$111M,Dr. Akram Aburas,Khalid Almashouq,"Riyadh, Saudi Arabia","Telecom operators, oil & gas, government, utilities"
5,Advanced Innovation Trading Company,Smart Logistics & Automotive Services,"Morni platform (roadside assistance, auctions, parking solutions)",,Salman Al-Suhaibaney,Not listed,"Riyadh, Saudi Arabia","Insurance companies, car dealerships, corporate fleets"
6,AGrandTech Limited,Telecom Core Network Solutions,"2G/3G/4G/5G core network products, IMS, OCS, SMSC, satellite optimization",,Weicai Luo,Not listed,Hong Kong SAR,"Mobile network operators, enterprise private networks"
7,AirPro Technology India Pvt Ltd,Networking & Wireless Solutions,"Wired/wireless networking products, IoT solutions",₹15.6 Cr (FY 2022),Deepak Jain,Not listed,"Jaipur, Rajasthan, India","Enterprises, telecom operators"
8,Al Babtain LeBLANC Emirates Telecommunication Systems LLC,Telecom & Digital Infrastructure,"Turnkey telecom solutions, IoT, smart city infrastructure, 5G networks",Subsidiary of Al-Babtain Group,Not listed,Not listed,"Dubai, UAE","Telecom operators, government, defense, energy sectors"
9,Al Jammaz Technologies,Technology Distribution,"Advanced IT solutions (cloud, IoT, cybersecurity, data centers)",$61M,Asim AlJammaz,Not listed,"Riyadh, Saudi Arabia","Cisco, Dell EMC, Lenovo, Honeywell, government & enterprise clients"
10,Al Thanayyan International One Person Company FZCO,Consumer Electronics Distribution,"Mobile phones, accessories, e-commerce solutions",$3.9M,Mahmoud Tawfiq,Not listed,"Dubai, UAE","Apple, Samsung, regional retailers"
11,Alepo Technologies Inc.,Telecommunications & Digital Solutions,"OSS/BSS platforms, Generative AI-powered telecom solutions",$30.2M,Sunil Diaz,Vikram Damle,"Austin, Texas, USA","Global telecom operators, ISPs, enterprise networks"
12,Algotech d.o.o. Beograd,Unified Communications & Contact Center Solutions,"Enterprise communication systems, AI chatbots, video transmission",$9.5M,Vasa Šegrt,Marko Nikolic,"Belgrade, Serbia","Telecom, finance, healthcare, logistics sectors"
13,AMDIE,Government Trade & Investment Promotion,"Export facilitation, investment advisory, trade partnerships",200B MAD,Ali Seddiki,Not applicable,"Rabat, Morocco","International investors, Moroccan exporters"
14,Amira AI - almost human,Artificial Intelligence & Human-AI Interaction,"Conversational AI, multimodal AI systems",$2B,Mira Murati,Mira Murati,"San Francisco, USA","AI research institutions, enterprise AI adopters"
15,Amplicon Middle East,Industrial IoT & Automation,"Edge AI systems, industrial routers, SCADA solutions",$5M–$10M,Ang Kwang Tat,Not listed,"Dubai, UAE","Etisalat, DEWA, ADNOC, Dubai Police"
16,"ANGEL TRADE CO., LTD",Global Trade & Distribution,"Import/export logistics, Xiaomi ecosystem distribution",,Artur Levitan,Not listed,Hong Kong SAR,"Xiaomi, regional B2B retailers"
17,ANKAREF INOVASYON VE TEKNOLOJI A.S.,IoT & Smart Solutions,"AI-powered IoT platforms, smart city solutions",$6.8M,Ali Erhan Binici,Hüseyin Yaşar,"Ankara, Turkey","Public sector, defense, retail, healthcare"
18,ANTlabs Pte. Ltd.,Network Solutions for Hospitality & Telco,"Carrier WiFi, hotel internet billing, bandwidth management",$27.9M,Ang Kwang Tat,Wee Tuck Teo,Singapore,"Hotels, airports, telecom operators"
19,AppXite,Cloud Commerce & Subscription Management,"SaaS marketplace platform, billing & invoicing solutions",€13.9M,Nicolas Albana,Valentin Garkavy,"Riga, Latvia","Distributors, MSPs, SaaS vendors"
20,Arabian Business,Media & Publishing,"Business news, tech coverage, event media partnerships", $87.4M (ITP Media Group),Not listed,Not applicable,"Dubai, UAE","Regional businesses, advertisers, event organizers"
21,"Aroot Co., Ltd",Computer Hardware & Printing Solutions,"POS printers, mobile printers, RFID printers, Smart AIDC solutions",KRW 46.83B,Dong Kun Seomun,Not listed,"Osan-si, South Korea","Retail, hospitality, logistics, healthcare sectors"
22,Astra Wireless Technology FZ-LLC,Wireless Communication Systems,"High-performance wireless radios, antennas, network planning services",$301K,Not listed,Not listed,"Ras Al Khaimah, UAE","Telecom operators, mining, transportation, government sectors"
23,Astrome Technologies Pvt Ltd,Satellite Communication & Wireless Backhaul,"LEO satellite internet, millimeter-wave wireless backhaul solutions",$30M,Neha Satak,Prasad H L Bhat,"Bengaluru, India","Telecom carriers, satellite operators, government agencies"
24,astTECS GmbH,Unified Communication & VoIP Solutions,"AI-powered IP PBX, call center solutions, VoIP services","€25,000 capital",Dr. Devasia Kurian,Joerg Scholz,"Berlin, Germany & Bengaluru, India","Enterprises in 55+ countries (hospitality, healthcare, SMEs)"
25,Babbar FZCO,Wholesale Electronics & Global Trade,"Mobile phones, tablets, accessories (Apple products focus)",$1.03M,Not listed,Guillaume Pitel,"Dubai Airport Free Zone, UAE","Apple distributors, global B2B electronics buyers"
26,Beyon,Telecommunications & Digital Services,"Mobile, broadband, cybersecurity, fintech, cloud solutions",BHD 582M,Andrew Tor Kvalseth,Rashed Mohamed,"Manama, Bahrain","Telecom subscribers, enterprises, government"
27,Birla Cable Limited,Telecom Cable Manufacturing,"Optical fiber cables, copper telecom cables, structured LAN cables",₹582 Cr,R. Sridharan,Not listed,"Rewa, Madhya Pradesh, India","Telecom operators, defense, railways"
28,BlackBerry UK Limited,Cybersecurity & Enterprise Software,"Secure communications, endpoint management, IoT security",$2.7B,John Joseph Giamatteo,Not listed,"London, UK","Governments, automotive OEMs, enterprises"
29,BPC Energy Limited,Power Protection & UPS Solutions,"Uninterruptible Power Supply (UPS), battery systems, solar integration",$8.3M,Malcolm Henley,Matthew Henley,"Romsey, Hampshire, UK","Data centers, telecom, emergency services, industrial clients"
30,Briticom,Passive Cabling & Data Center Solutions,"Copper cabling systems, fiber-optic products, racks & enclosures",£1.11M,Wadii Kherfani,Not listed,"Northampton, UK","Data centers, telecom operators, smart home integrators"
31,BroadNet Technologies LLC,Global Messaging & Telecom Services,"Bulk SMS, A2P SMS, HLR Lookup, SMS Firewall, SMSC Gateway",$282.4M,Rabih Abdul Fattah El Zubaidi,Jorge Bustamante,"Dubai, UAE","Telecom operators, enterprises, GSMA members"
32,C4Line Co.,IP Networking & Connectivity Solutions,"Ethernet over Coax/UTP/2Wire, IP camera connectivity, VoIP solutions",$4M,Sung Kim,Not listed,"Osan-si, South Korea","OEMs, security integrators, smart building projects"
33,CALLANYWHERE,VoIP & Cloud Communication,"Cloud PBX, SIP trunking, international calling solutions",$16.6M,Not listed,Not listed,"Mississauga, Ontario, Canada","SMEs, telecom resellers"
34,Cambridge Industries USA Inc,Telecom Equipment & Optical Networking,"Optical broadband CPE, FTTH solutions, wireless access devices",$195.2M,Gerald Wong,Not listed,"Santa Clara, California, USA","Telecom carriers, ISPs, OEMs"
35,Cell Axis FZE,Mobile Device Distribution,Samsung mobile phones & tablets wholesale,,Not listed,Sarfaraz Aslam,"Dubai Airport Free Zone, UAE","Retailers, B2B electronics buyers"
36,Cell Nation FZE - AE,Consumer Electronics & Mobile Distribution,"Mobile phones (Apple, Samsung, Nokia), accessories",<$5M,Manpreet Singh,Not listed,"Dubai Airport Free Zone, UAE","Global wholesalers, online retailers"
37,Celltel Middle East FZCO,Mobile Device Import & Distribution,"Smartphones, accessories (Apple, Samsung, Huawei, etc.)",$2.8M,Haji Feroz,Not listed,"Dubai Airport Free Zone, UAE","Regional distributors, telecom retailers"
38,"Changzhou CO-NET Electronic Technology Co., Ltd",Fiber Optic Components & Passive Devices,"PLC splitters, FTTH boxes, cable assemblies, splice closures",<$5M,Not listed,Not listed,"Changzhou, Jiangsu, China","Telecom operators, data centers, OEMs"
39,"
China Mobile International",Global Telecom & Connectivity Solutions,"Voice, SMS, roaming, cloud, IDC, IoT services",$243B (parent company),He Biao,Ricky Lo,Hong Kong SAR,"Global carriers, enterprises, mobile users"
40,Cloudiogram,Cybersecurity & Cloud Solutions,"Managed cybersecurity, SD-WAN, SASE, cloud migration services",<$5M,Maher Al Sharif,Not listed,"Toronto, Ontario, Canada",Enterprises adopting cloud & security solutions
41,Cluster TIC Galicia,Technology Cluster & IT Services,"Digital transformation, cybersecurity, cloud, AI solutions for member companies",$20.6M,Oscar Santos,Not listed,"Santiago de Compostela, Galicia, Spain","Regional tech firms, government, telecom operators"
42,COMBA TELECOM,Wireless Infrastructure & Network Solutions,"Base station antennas, DAS, small cells, Open RAN solutions",$4.5B,Fok Tung Ling,Sun Shan Qiu,Hong Kong SAR,"Mobile operators, smart city projects, airports, government"
43,Comtinu,Telecom Integration & Homeland Security,"Telecom solutions, energy infrastructure, security systems",$4.5M,Camille Abusaba,Not listed,"Dubai, UAE","VIAVI Solutions, IP Infusion, Bridgewave, Calix"
44,Connect Communication FZCO,Mobile Device Trading & Distribution,"Smartphones, accessories, 5G devices, wearables",<$5M,Moses,Not listed,"Dubai Airport Free Zone, UAE","Samsung, regional mobile retailers"
45,"D-TEG Co.,Ltd.",Automotive CCTV & Video Telematics,"LTE dash cameras, vehicle DVR systems, cloud-based telematics",$2M,Kim Keun Yong,Hyunsang Lee,"Seongnam, Gyeonggi-do, South Korea","Fleet operators, insurance companies, law enforcement"
46,"Dawnergy Technologies (Shanghai) Co.,Ltd",Fiber Optic Solutions,"Fiber optic cables, splitters, distribution boxes, FTTH solutions",$60M–$62M,Peter Bi,Not listed,"Songjiang District, Shanghai, China","China Telecom, China Mobile, Telefonica, Airtel"
47,Dubai Computer Group (DCG),IT Trade Association,"Networking platform for IT distributors, resellers, system integrators",$2.5M,Ashok Kumar,Not applicable,"Dubai, UAE","200+ IT companies, Dubai Chamber of Commerce"
48,Dexatel,Cloud Communication & CPaaS,"SMS APIs, omnichannel messaging, secure communication solutions",$25M,Gegham Azatyan,Neil Salyer,"Tallinn, Estonia","Enterprises in banking, e-commerce, telecom"
49,Digital Data Communications (DDC),Network Infrastructure & IT Solutions,"Active/passive network components, IT security, connectivity solutions",$20M,Not listed,Not listed,"Dortmund, Germany","Data centers, telecom operators, enterprises"
50,Digitus,Digital Infrastructure & Network Solutions,"Fiber networks, wireless systems, AI-driven ICT solutions",$104M,Not listed,Neil Salyer,"Safat, Kuwait","Data centers, telecom operators, enterprises"
51,Dingli Corporation Ltd,Mobile Network Test & Measurement Solutions,"Drive test tools, 5G private network testing, IoT measurement, autonomous benchmarking",$550M,Ze Quan Xu,Eric Ye,"Zhuhai, China","Mobile operators, chipset vendors, regulatory bodies, telecom consultancies"
52,e& etisalat and,Global Telecom & Technology Group,"Mobile, broadband, cloud, AI, IoT, cybersecurity, fintech services",$16.1B,Hatem Dowidar,Erik Ekudden,"Abu Dhabi, UAE","198M subscribers across 38 countries; enterprises, governments"
53,East Photonics Inc.,Fiber Optic Components & Optical Networking,"WDM filters, PLC splitters, optical connectors, DWDM/CWDM modules",< $50M,Ho Joon Seok,Not listed,"Daejeon, South Korea","Telecom operators, SAN architects, ISP infrastructure providers"
54,Edgecore Networks Corporation,Open Networking & Data Center Solutions,"Ethernet switches (1G–800G), Wi-Fi access points, SDN/NOS platforms",$769.1M,Andy Wu,Max Chen,"Irvine, California, USA","Cloud data centers, telecom carriers, enterprises"
55,EDGESMART PTE. LTD.,Edge AI & Data Analytics,"Intelligent edge computing, FPGA-based embedded systems, telecom hardware",,Not listed,Not listed,Singapore,"Telecom operators, railways, energy, mining sectors"
56,Ekinops,Optical Transport & SD-WAN Solutions,"EKINOPS360 (WDM optical transport), OneAccess (uCPE), Compose (SD-WAN, edge cloud)",$104M,Didier Brédy,Philippe Moulin,"Lannion, France","Global telecom operators, managed service providers"
57,Eltex Enterprise Ltd.,Telecom Equipment Manufacturing,"GPON OLT/ONT, Ethernet switches, VoIP gateways, IPTV set-top boxes",$2.7M,Not listed,Not listed,"Novosibirsk, Russia","Rostelecom, Kazakhtelecom, ISPs in CIS & Eastern Europe"
58,ERICSSON AB DUBAI BRANCH,Telecom Infrastructure & 5G Solutions,"Mobile networks, cloud software, IoT platforms, managed services",$21B,Börje Ekholm,Erik Ekudden,"Dubai Internet City, UAE","Etisalat, du, regional telecom operators, enterprises"
59,EZELINK TELECOM LLC,Managed Wi-Fi & Telecom Solutions,"Wi-Fi-as-a-Service, captive portals, SD-WAN, network analytics",$13.5M,Maher Al Zarooni,Not listed,"Dubai, UAE","Hospitality, healthcare, transport, smart city projects"
60,"Fanvil Link Technology Co., Ltd.",Audio & Video IoT Communication Devices,"SIP phones, intercoms, video door phones, A&V-IoT solutions",$12.1M,Robbin Feng,Louis Chen,"Shenzhen, China","Enterprises, hospitality, education, security sectors"
61,FIBERME,Unified Communications & VoIP Solutions,"IP PBX, VoIP phones, video conferencing systems, SIP gateways",$5.7M,Tam Atteia,Tamer Galal,"McLean, Virginia, USA & Cairo, Egypt","SMEs, enterprises, telecom resellers"
62,"FICER TECHNOLOGY CO., LTD.",Fiber Optic Components & Networking Equipment,"Optical transceivers (up to 800G), DWDM platforms, fiber cables, passive components",$2.6M,Terence Yeh,Not listed,"Taipei, Taiwan","Data centers, telecom operators, OEMs"
63,"Flyin Group Co., Ltd",Fiber Optic Communication Components,"CWDM/DWDM multiplexers, optical switches, patch cords, optical transceivers",,Not listed,Not listed,"Shenzhen, Guangdong, China","Telecom operators, system integrators, ISPs"
64,GC INFORMTEKHNIKA,Telecom Equipment & Unified Communications,"Complex telecommunication projects, secure communication networks, UC systems",$66M,Artem Cheprak,Not listed,"Moscow, Russia","Gazprom, Transneft, Russian Railways, Rosatom"
65,Geolab Information Technology,Geospatial Intelligence & Smart City Solutions,"GIS platforms, satellite imagery, urban mobility analytics, infrastructure management",$1.8M,Yener Türkmenoğlu,Not listed,"Istanbul, Turkey","Municipalities, logistics firms, infrastructure developers"
66,Global Call Forwarding,Cloud Telephony & International Call Solutions,"Virtual phone numbers, SIP trunking, call routing, VoIP services",$5.5M,Thierry Genoyer,Not listed,"Delray Beach, Florida, USA","MoneyGram, Air Arabia, Novartis, Radisson Hotels"
67,Global Digital Innovation Network,Tech Innovation & Startup Acceleration,"Global expansion programs, IP consulting, investor matchmaking",$3.6B USD,Jongkap Kim,Not applicable,"Seongnam-si, Gyeonggi-do, South Korea","Korean tech startups, global accelerators, investors"
68,Globitel UAE (FZ) LLC,Telecom & Contact Center Solutions,"Roaming solutions, call recording, speech analytics, workforce optimization",$25.8M,Sharif Nabulsi,Wisam Ammori,"Amman, Jordan (UAE branch in Dubai)","Telecom operators, financial institutions, government agencies"
69,GNX B.V.,Global Connectivity & SD-WAN Solutions,"Carrier-neutral connectivity platform, DIA, MPLS, 5G, Starlink integration",$18.2M,Rutger Bevaart,Rick Mur,"Amsterdam, Netherlands","Enterprises, MSPs, global service providers"
70,GreenAds Global Pvt Ltd,Cloud Telephony & Enterprise Messaging,"Bulk SMS, WhatsApp Business API, RCS messaging, voice calls",$650K,Sandeep Kumar,Not listed,"Kochi, Kerala, India","Automotive, retail, BFSI, e-commerce brands"
71,"Guangdong Amplitec Tech Development Co.,Ltd",Mobile Signal Enhancement & Jammer Solutions,"Mobile signal repeaters, fiber optic repeaters, SDR-based jammers, drone countermeasures",$2.5M–$10M,Shi Qingpu,Not listed,"Foshan, Guangdong, China","China Mobile, China Unicom, telecom operators, security agencies"
72,Guanwei Technology,IoT & Smart Tech Solutions,"Indoor positioning systems (uGPS), smart city infrastructure, electronics manufacturing",$3M,Jihoon Ryoo,Not listed,"Incheon, South Korea","Smart city projects, transportation authorities, infrastructure developers"
73,"Hangzhou Zion Communication Co., Ltd",ICT Cabling & Fiber Solutions,"Fiber optic cables, copper cabling systems, security cables, network accessories",< $5M,Xu Yongfan,Not listed,"Lin’an, Zhejiang, China","Data centers, ISPs, telecom operators, building infrastructure projects"
