Sl. Number,Exhibitors Name,Business Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
1,amdocs,Telecom & Services,"BSS, OSS, digital transformation, media solution",$8.95 billion USD,Shuky Shaffer,Yaron Sverdlov,"Chesterfield, Missouri, USA","AT&T, T-Mobile USA, Vodafone, Telefonica, Comcast, Charter, Bell Canada, Altice USA, DISH, Globe Telecom, BT"
2,GSMA,"Industry association, telecom","Events (MWC), industry standards, regulatory advocacy",$176 million USD,John Hoffman,Alex Sinclair,"London, UK ","Vodafone, AT&T, T-Mobile, China Mobile, Bharti Airtel, Orange, Telefónica"
3,Qualcom,"Semiconductor, wireless technology","Snapdragon chips, 5G modules, embedded processors",$172.52 billion USD,Cristiano Amon,Mary A. Gendron (CIO),"San Diego, CA, USA","Apple, Samsung, Xiaomi, Oppo, Vivo, BMW, GM, Honda, Stellantis, Microsoft, Lenovo, HP"
4,T-MOBILE WHOLESALE,Wireless telecom operator,"Wholesale wireless, MVNO, IoT connectivity",$254.58 billion USD,Mike Sievert,Peter Lai,"Bellevue, WA, USA","Plum Wireless, UPS, Boston Children’s Hospital, Delta Airlines, VA Healthcare, Tractor Supply, Walt Disney Studios"
5,Vodafone IoT,"Telecom services, IoT connectivity","Managed IoT services, global SIM, enterprise comms platform",$27.14 billion USD,Erik Brenneis,"Satish Mittal (CTO, India)","Newbury, Berkshire, UK",Enterprises worldwide
6,AEGIS MOBILE LLC,"Compliance assurance, brand intelligence","Fraud prevention, compliance monitoring, vendor vetting",$11.3 millionUSD,John Bruner,,"Columbia, Maryland, USA","Verizon Wireless
Sprint
Optus
CWTA (Canadian Wireless Telecommunications Association)"
7,AOZORA WIRELESS INC.,"Wireless technology, internet services","Wireless network deployment, connectivity solutions",Private,,,Japan,"AT&T, Verizon, T-Mobile, DISH"
8,ATDI,"Spectrum management, RF planning","Automated spectrum management systems, radio planning tools",Private,,,"Paris, France/Mumbai, India","Government regulators (spectrum licensing)
Defense agencies
Mobile network operators"
9,Baicells Technologies,Wireless network solutions ,"4G LTE/5G NR hardware, private networks, small cells", $66.2M Revenue,Minchul Ho (Americas CEO),,"Plano, TX, USA/Beijing, China",Qualcomm Ventures
10,BLiNQ Networks,"Wireless communications, small cell","Outdoor/indoor 5G/4G small cell hardware, private network",<$100M USD,,,"Ontario, Canada","Karrier One, World Mobile, and Zeppelin Wireless"
11,Boldyn Networks,"Shared network infrastructure, neutral host","Private networks, smart city, venue & trasnsport  wireless",$1.5B–$2B USD,"Igor Leprince (Global CEO), Christos Karmis (US CEO)","Marc Rohleder (US CTO), Andrew Conway (Europe CTO)","London, UK, Irvine, CA US","Cleveland Cavaliers (Rocket Mortgage FieldHouse), 
ASM Global venues, 
US Higher Education, Transport Networks
Military Bases"
12,BroadNet Technologies,"Telecommunications, Cable & Satellite","Bulk SMS, A2P SMS, SMS Gateway, SMS Firewall",$282.4 Million (Revenue),Rabih Al Zubaidi,Jorge Bustamante,"San Francisco, California, USA",AppTech Payments Corp
13,Canoga Perkins,"Telecommunication Equipment, Manufacturing","Fronthaul and backhaul network connectivity solutions, SyncMetra",$42.3 Million (Estimated Revenue),Alfred Champion,Not listed,"Chatsworth, California, USA","AT&T, Verizon, Industrial enterprises, utilities, military, and government agencies"
14,Canonical |Ubuntu,"Computer Software, Open Source","Ubuntu OS, Snap, Juju, MAAS, cloud-init",$292 Million (2024 Revenue),Mark Shuttleworth,Not listed,"London, England, UK"," Dell, HP, Lenovo, AWS, Microsoft Azure, IBM Cloud,   CapGemini, Infosys, TechMahindra, Elektrobit, McDonald’s kiosks, 5G core"
15,Confone Ltd.,"Telecommunications, Roaming Services","IPX, Data Clearing, Financial Clearing, Roaming Hub",$23.8 Million (Revenue),Daniel Heutschi,Marc Stadelmann,"Bern, Switzerland","MNOs, MVNOs, IoT solution providers"
16,Cotality,"Real Estate Technology, Business Intelligence","Property insights, Climate Risk Analytics, Araya Platform","$1.6 Billion (2020 Revenue), Valued at $5 Billion",Patrick Dodd,Bhaskar Peddhapati,"Irvine, California, USA","Tokio Marine Holdings,  real estate agents, lenders, insurers, mortgage brokers, utilities"
17,CTIA - The Wireless Association,Wireless Communications Industry Association,"Advocacy, Certification, Industry Surveys",$66.6 Million (Estimated Revenue),Ajit Pai,Not listed,"Washington, D.C., USA","AT&T, Verizon, T-Mobile"
18,DataXoom,"Enterprise Mobility, Telecommunications","LTE/5G services, EMI Platform, MVNO",$16.5 Million (Revenue),Chris Hill,Eytan Bar,"Manchester, New Hampshire, USA","CenseoHealth, Direct General Insurance"
19,Digital Global Systems,"Wireless Technology, Spectrum Management","AI-driven RF analytics, spectrum optimization",$5 Billion (Acquisition Value),Fernando Murias,Armando Montalvo,"Tysons, Virginia, USA","Defense agencies, telecom operators, utilities"
20,Elements Material Technology,"Testing, Inspection, Certification","Material testing, certification for aerospace, health, oil & gas",$913 Million (2021 Revenue),Jo Wetz,Not listed,"London, United Kingdom","DoD, NIH, Army Soldier Center"
21,"Eucast Co., Ltd.",Wireless Broadband Access Technology,"4G/5G base stations, Network in a Box, LTE systems",$4.2 Million (Revenue),Jaehyeong Kim,Not listed,"Seongnam-si, South Korea","KT (Korea Telecom), Hanwha Systems, KEPCO, Juganu (Israel), Wavelet (India)"
22,First Orion Corp,Telecommunications Technology,"Branded Communication, Call Protection, Inform APIs",$147.8M (Revenue),Scott Hambuchen,Monica Martino,"North Little Rock, Arkansas, USA","T-Mobile USA, Vodafone, Balboa Digital, EverQuote"
23,Forsk,Wireless Network Planning Software,"Atoll (radio planning), Naos (automation platform)",$25.6M (Revenue),Nicolas Dubois (VP & GM North America),Cedric Stofft (Technical Director),"Blagnac, France","BT Group, Bell Mobility, Deutsche Telekom"
24,GCH Technologies,Wireless Infrastructure & Messaging Registry,"Short Code Registry, RCS Messaging, APIs",Private (PE-backed by Koch Equity Development),George Cray, Greg Osterhout,"Lewes, Delaware, USA","CTIA , wireless carriers, messaging platforms, brands"
25,GetWireless,IoT Connectivity Distribution,"Cellular routers, gateways, antennas",$33.3M (Estimated Revenue),Brian Taney,,"Eden Prairie, Minnesota, USA","Sierra Wireless, Semtech, Peplink, Nextivity"
26,"Google, LLC","Technology, Internet Services","Search, Android, Google Cloud, Pixel",$2.15 Trillion (Alphabet Market Cap),Sundar Pichai,Ben Treynor Sloss (VP Engineering),"Mountain View, California, USA","Etsy, Apex Fintech, Millennium BCP, Napster, Citylitics"
27,Highspring Consulting,"Consulting, Managed Services, Talent Solutions","Business Transformation, Digital Strategy, AI Solutions",Part of Vaco Holdings ($1B+ revenue),Brian Waller,Dena Campbell (CIO role)," Brentwood, Tennessee, USA","private equity firms, growth-stage businesses"
28,Incheon Technopark,Technology Incubation & R&D,"Startup incubation, tech development support",Government-funded,Ju Ho Lee,," Incheon, South Korea",Philmedi
29,Infobip," Cloud Communications, CPaaS","SMS, Voice, Email, WhatsApp APIs, Omnichannel Messaging",$10B valuation (Unicorn),Silvio Kutic,Izabel Jelenic,"London, UK (legal) / Vodnjan, Croatia (operational)","Coca-Cola, AstraZeneca, TK Elevator, BPI Bank, Globant, Accenture"
30,"Innerton, Inc.", RF & Microwave Components,"RF systems, diplexers, distributed antenna monitoring",$6.6M (Revenue),,,"Incheon, South Korea","telecom operators, defense agencies, broadcast infrastructure providers"
31,Intel Corporation,"Semiconductors, Computing","Processors, chipsets, AI, IoT solutions","$125B (2024 Revenue), Market Cap fluctuates",Lip-Bu Tan (as of 2025),Sachin Katti (Chief Technology & AI Officer),"Santa Clara, California, USA","Dell, HP, Lenovo, Amazon, Microsoft, Google, Cisco, Oracle, Samsung"
32,IBM," Information Technology, Cloud Computing","IBM Cloud, Watson AI, Quantum Computing, Consulting",$144.78B (Market Cap),Arvind Krishna,Darío Gil (SVP & Director of IBM Research),"Armonk, New York, USA","Walmart, General Motors,
Walgreens Boots Alliance,
Delta Air Lines, JPMorgan Chase, AT&T, Vodafone, Johnson & Johnson, Bank of America, Procter & Gamble, American Express, Coca-Cola"
33,Iridium,Satellite Communications,"Global voice & data via LEO satellites, IoT, PTT services",$2.61B (Market Cap),Matthew J. Desch,Gregory D. Pelton,"McLean, Virginia, USA","Syniverse, AT&T, Verizon, Vodafone"
34,JMA Wireless,"Wireless Infrastructure, 5G Solutions","XRAN (virtualized RAN), TEKO DAS, private wireless networks",$427.7M (Estimated Revenue),John Mezzalingua,Gilberto Brizzi,"Syracuse, New York, USA","SoFi Stadium, Fiserv Forum, Golden 1 Center, JMA Dome,  Carnegie Mellon University City of Tucson, American Dream Mall, Stadio Olimpico (Italy)"
35,Kontron,"Embedded Computing, IoT Solutions","Industrial PCs, IoT gateways, rugged computing systems",$1.3B (Revenue),Jason Larocque (Kontron Canada),,"Augsburg, Germany","Planet Networks, NT Fiber"
36,Live4IoT,IoT Solutions & Asset Tracking,"IoT connectivity platforms, healthcare monitoring, AI analytics",<$5M (Revenue),,Yuhuan Cai (SVP Product & Technology),"Allen, Texas, USA","Logistics & transportation companies, government agencies, healthcare providers"
37,MatSing, RF Lens Antenna Technology,"Multi-beam lens antennas for stadiums, macro networks",,Bo Larsson,Tony DeMarco (Chief Product Officer),"Irvine, California, USA","Verizon, AT&T, T-Mobile, Coachella, SXSW, Chicago Air & Water Show"
38,Maven Wireless,Wireless Coverage Solutions (DAS),"Digital DAS, 5G-ready nodes, off-air repeaters",$12.7M (Revenue),Fredrik Ekström,Dr. Mike Lewis,"Stockholm, Sweden","Swiss Federal Railways (SBB), Tele2, UK train manufacturer"
39,"MicronWireless, Inc",IoT & M2M Solutions,"GPS tracking devices, LTE modules, asset tracking systems",$7.9M (Revenue),Jun Xu,,"Boca Raton, Florida, USA","Global IoT solution providers, GPS tracking service companies, telecom operators"
40,Mobile Satellite Wireless Association (MSSA),Satellite Industry Association,"Advocacy, standards for D2D & IoT satellite connectivity",Non-profit,Mark Dankberg (Chairman of MSSA Board),,"San Ramon, California, USA","AT&T, Verizon, Vodafone, Apple, SpaceX Starlink, Iridium, Globalstar, Viasat"
41,Motive,AI-powered Fleet & Operations Management,"AI Dashcams, fleet tracking, compliance, spend management",$2.85B (Valuation),Shoaib Makani,Amish Babu,"San Francisco, California, USA","Western Express, Ernst Concrete, KONE, Carvana, Grupo Adet, Southwind, United Vision Logistics"
42,Murata Electronics,Electronics Components Manufacturing,"Capacitors, sensors, wireless modules, power supplies",$40B (Market Cap),Norio Nakajima,,"Kyoto, Japan","Apple, Samsung Electronics, LG Chem, Sony, automotive OEMs"
43,NextNav,"Location Services, GPS Technology","TerraPoiNT 3D geolocation, altitude positioning", $250M (Market Cap),Ganesh Pattabiraman,,"McLean, Virginia, USA","U.S. Department of Transportation,
Public safety agencies, telecom operators, smart city projects"
44,NS & Associates LLC (d/b/a Imagine Wireless),"Wireless Solutions, IoT"," IoT connectivity, wireless infrastructure",Private,,,USA,wireless consulting and technology strategy
45,PCCW Gobal | Console Connect,"Telecommunications, Cloud Connectivity","Console Connect platform, SDI, cloud interconnect",$500M+ (Estimated Revenue),Marc Halbfinger,,Hong Kong,"AWS, Google Cloud, Microsoft Azure, IBM Cloud, Oracle, Global Switch, Cologix, BDx"
46,Powercast,"Wireless Power, RF Energy","RF transmitters, wireless charging modules",$10M (Estimated Revenue),Charles Greene,Charles Greene,"Pittsburgh, Pennsylvania, USA","IoT device makers, retail giants, RFID solution providers, consumer electronics brands"
47,Prism Telecom,"Telecom Services, Network Solutions","Network deployment, managed services",Private,,,USA,"Tier-1 telecom carriers,  international calling card and VoIP solutions"
48,Quartus SGP PTE LTD,"Telecom Consulting, Engineering","Network planning, optimization, training",Private,,,Singapore,private wireless network infrastructure
49,"Quectel Wireless Solutions Co., Ltd","IoT Modules, Wireless Communication","Cellular modules, GNSS, Wi-Fi, antennas",$1.5B (Revenue),Patrick Qian,,"Shanghai, China","Pfizer-BioNTech, Controlant, Flashnet, MedThings, Tri Cascade, EEVE, Safehub, INSYS icom"
50,Radisys,"Telecom Software, Open Networks"," Open RAN, 5G software, media processing",$100M (Estimated Revenue),Arun Bhikshesvaran,,"Hillsboro, Oregon, USA","Reliance Jio, Telefonica, Nokia, ZTE, Mavenir, Airspan, Unisys, Zoom Technology Group"
51,"RevGen Networks, LLC","Wireless Infrastructure, Network Services","Private LTE/5G, network design",Private,,,USA,Controlled Products Systems Group (CPSG)
