Sl. Number,Exhibitors Name,Buisness Domain,Service/Product,Networth,CEO,CTO,HQ,Customers
1,Ericsson,Telecommunications & Networking,"4G/5G networks, cloud software, managed services",$24.8B,Börje Ekholm,Erik Ekudden,"Stockholm, Sweden","AT&T, Verizon, Vodafone, Orange, Telefonica"
2,Nokia,Telecom & Network Infrastructure,"Mobile networks, IP routing, cloud services",$28.3B,Justin Hotard,Pallavi Mahajan,"Espoo, Finland","T-Mobile, BT Group, Vodafone, Orange"
3,Huawei,ICT & Consumer Electronics,"5G networks, smartphones, cloud computing",$140.19B,Ren Zhengfei,He Tingbo,"Shenzhen, China","China Mobile, Vodafone, Orange, Telefonica"
4,ZTE Corporation,Telecom & ICT Solutions,"Wireless/wireline networks, IoT, cloud",$20.53B,Ziyang Xu,Xiyu Wang,"Shenzhen, China","China Telecom, MTN, Orange"
5,Samsubg Networks,Network Solutions,"4G/5G infrastructure, telephony",$317.1B,Woojune Kim,-,"Seoul, South Korea","Verizon, AT&T, T-Mobile"
6,Vodafoe Group,Telecommunications,"Mobile & fixed services, IoT, cloud, financial services",$27.7B,Margherita Della Valle,Scott Petty,"Newbury, United Kingdom",300M+ mobile customers globally
7,Orange,Telecommunications & Digital Services,"Mobile, broadband, IPTV, cybersecurity, cloud",$30.1B,Christel Heydemann,Bruno Zerbib,"Issy-les-Moulineaux, France",291M customers worldwide
8,Telefonica,Telecommunications,"Mobile, fixed-line, broadband, TV, IoT, cloud",$28.3B,Marc Murtra Millar,Andrea Folgueiras,"Madrid, Spain",300M+ customers in Europe & Latin America
9,T-Mobile USA,Wireless Telecommunications,"Mobile voice/data, broadband, IoT",$170–180B,Mike Sievert,John Saw,"Bellevue, Washington, USA",100M+ wireless subscribers
10,SK Telcom,Telecommunications & AI Services,"Mobile, broadband, IPTV, AI cloud, IoT",$8.82B,Young Sang Ryu,Doh Hee Jung,"Seoul, South Korea",32M mobile subscribers
11,e&,Telecommunications,"Mobile, broadband, digital services",$60B,Hatem Dowidar,Khalid M. Al Suwaidi,"Abu Dhabi, UAE","Middle East, Africa, Asia"
12,Qualcomm,Semiconductors & Wireless Tech,"Mobile processors, 5G modems, IoT",$140B,Cristiano Amon,James Thompson,"San Diego, USA","Samsung, Apple, Xiaomi, automotive OEMs"
13,Intel,Semiconductors,"CPUs, data center, AI, networking",$125B,Pat Gelsinger,Greg Lavender,"Santa Clara, USA","Dell, HP, Lenovo, AWS, Google"
14,Marveli,Semiconductors,"Networking chips, storage, processors",$50B,Matt Murphy,Sandeep Bharathi,"Santa Clara, USA","Cisco, Samsung, Nokia"
15,Amdocs,Software & Services,"Customer experience, billing, cloud",$10B,Shuky Sheffer,Anthony Goonetilleke,"Chesterfield, Missouri, USA","AT&T, Vodafone, Telefónica"
16,Netcracker,Telecom Software,"BSS/OSS, cloud, automation",Private (subsidiary of NEC),Andrew Feinberg,-,"Waltham, Massachusetts, USA","NEC clients, global telecom operators"
17,Keysight Technologies,Test & Measurement,"Network testing, 5G, IoT, aerospace",$27B,Satish Dhanasekaran,Jay Alexander,"Santa Rosa, California, USA","Ericsson, Nokia, Huawei, Apple"
18,VIAVI Solutions,Network Testing & Monitoring,"Fiber, wireless, assurance tools",$2B,Oleg Khaykin,Paul McNab,"Scottsdale, Arizona, USA","Telecom operators, defense, aerospace"
19,Sierra Wireless,IoT Solutions,"Modules, gateways, connectivity",Acquired by Semtech,-,-,"Richmond, British Columbia, Canada","Industrial, automotive, enterprise IoT"
20,u-blox,Semiconductors & IoT,"GNSS, cellular modules, positioning",$0.5B,Stephan Zizala,Andreas Thiel,"Thalwil, Switzerland","Automotive, industrial, consumer electronics"
21,Telit Cinterion,IoT Connectivity,"Modules, platforms, services",Private,Paolo Dal Pino,-,"London, UK","Smart cities, healthcare, industrial IoT"
22,Comba Telecom,Telecom Equipment,"Wireless enhancement, DAS, antennas",$0.3B,Simon Yeung,-,Hong Kong,Asia-Pacific telecom operators
23,Airspan Networks,Wireless Infrastructure,"Open RAN, 5G, small cells",$0.1B,Eric Stonestrom,-,"Boca Raton, Florida, USA","Rakuten, DISH, Sprint"
24,Casa Systems,Broadband & Wireless,"Cable, mobile, cloud solutions",$0.05B,Michael Glickman,Jerry Guo,"Andover, Massachusetts, USA","Comcast, Verizon, Vodafone"
25,Acromove,Edge Cloud & Storage,"Mobile data centers, edge cloud",Private,George Sidiropoulos,-,"Athens, Greece","Media, telecom, enterprise"
26,Obvious,AI & Tech Innovation,"AI tools, creative platforms",Private,James Bridle,-,"London, UK","Creative industries, researchers"
27,GSMA,Mobile Industry Association,"Events, policy, research, standards",Non-profit,John Hoffman (CEO GSMA Ltd.),-,"London, UK","Global mobile operators, governments"
28,Orange LiveNet,Telecom Innovation,"Live network testing, R&D",Part of Orange Group,-,-,France,"Orange subsidiaries, research partners"
29,SATELIOT,Satellite IoT,5G NB-IoT via LEO satellites,Private,Jaume Sanpera,-,"Barcelona, Spain","IoT device makers, logistics, agriculture"
30,SpaceX Starlink,Satellite Internet,LEO satellite broadband,$150B (SpaceX),Elon Musk,-,"Hawthorne, California, USA","Remote users, governments, maritime"
31,OneWeb,Satellite Communications,LEO satellite broadband,$3.4B (acquired by Eutelsat),Neil Masterson,Massimiliano Ladovaz,"London, UK","Remote regions, maritime, aviation"
32,Iridum,Satellite Communications,Global voice/data via LEO satellites,$0.6B,Matthew J. Desch,-,"McLean, Virginia, USA","Aviation, maritime, government"
33,IBM,IT & Cloud Services,"Cloud, AI, consulting, infrastructure",$140B,Arvind Krishna,Dario Gil,"Armonk, New York, USA","Enterprises, governments, banks"
34,Cisco,Networking & Security,"Routers, switches, cybersecurity, collaboration",$210B,Chuck Robbins,Jonathan Davidson,"San Jose, California, USA","Enterprises, telecom, government"
35,Palo Alto Networks,Cybersecurity,"Firewalls, cloud security, threat detection",$90B,Nikesh Arora,Naveen Zutshi,"Santa Clara, California, USA","Global enterprises, governments"
36,Accenture,Consulting & Technology,"Strategy, digital, cloud, operations",$200B,Julie Sweet,Mahesh Narayanan,"Dublin, Ireland",Fortune 500 companies
37,TM Forum,Telecom Industry Association,"Standards, collaboration, events",Non-profit,Nik Willetts,George Glass,"London, UK",Global telecom operators
38,Juniper Nerworks,Networking Solutions,"Routers, switches, SDN, security",$11B,Rami Rahim,Raj Yavatkar,"Sunnyvale, California, USA","Telecom, cloud providers, enterprises"
39,Radisys,Telecom Software & Hardware,"Open telecom solutions, 5G, media",Subsidiary of Jio Platforms,Arun Bhikshesvaran,-,"Hillsboro, Oregon, USA","Jio, telecom OEMs"
40,Rakuten Group,E-commerce & Telecom,"Online retail, Rakuten Mobile, fintech",$10B,Hiroshi Mikitani,Tareq Amin (Rakuten Mobile),"Tokyo, Japan","Japanese consumers, mobile users"
41,Adobe,Software & Digital Media,"Creative Cloud, marketing, analytics",$270B,Shantanu Narayen,Abhay Parasnis,"San Jose, California, USA","Designers, marketers, enterprises"
42,Analog Devices,Semiconductors,"Signal processing, sensors, power ICs",$100B,Vincent Roche,-,"Wilmington, Massachusetts, USA","Industrial, automotive, healthcare"
43,Arista Networks,Cloud Networking,"Switches, routing, network OS",$60B,Jayshree Ullal,Kenneth Duda,"Santa Clara, California, USA","Cloud providers, enterprises"
44,Atos,IT Services & Consulting,"Cloud, cybersecurity, HPC, digital",$1.5B,Yana Robberstad,-,"Bezons, France","European enterprises, governments"
45,BlackBerry Cylance,Cybersecurity,AI-driven threat prevention,Part of BlackBerry Ltd.,John Giamatteo,-,"Waterloo, Ontario, Canada","Enterprises, governments"
46,BT Group,Telecommunications,"Broadband, mobile, TV, enterprise services",$20B,Allison Kirkby,Howard Watson,"London, UK","UK consumers, enterprises"
47,Celestica,Electronics Manufacturing,"Design, engineering, supply chain",$1.5B,Rob Mionis,-,"Toronto, Canada","OEMs, telecom, aerospace"
48,Ericsson Digital,Telecom Software,"Cloud-native network functions, automation",Part of Ericsson,Börje Ekholm,Erik Ekudden,"Stockholm, Sweden",Telecom operators
49,EXFO,Test & Measurement,"Network testing, fiber, analytics",$0.3B,Philippe Morin,-,"Quebec City, Canada","Telecom operators, labs"
50,Fastweb,Telecom & ISP,"Broadband, mobile, enterprise services",$2B,Walter Renna,-,"Milan, Italy","Italian consumers, businesses"
51,Fortinet,Cybersecurity,"Firewalls, SD-WAN, endpoint security",$50B,Ken Xie,Michael Xie,"Sunnyvale, California, USA","Enterprises, service providers, governments"
52,Gigas,Cloud & Hosting Services,"Cloud servers, backup, hosting",$0.05B,Diego Cabezudo,-,"Madrid, Spain","SMEs, enterprises in Spain and LATAM"
53,Google Cloud,Cloud Computing,"Infrastructure, AI, data analytics",$1.9T (Alphabet),Thomas Kurian,Will Grannis,"Mountain View, California, USA","Enterprises, developers, governments"
54,HMD Global,Mobile Devices,Nokia-branded smartphones,Private,Jean-Francois Baril,-,"Espoo, Finland","Consumers, telecom operators"
55,Huawei Cloud,Cloud Services,"IaaS, PaaS, AI, storage",Part of Huawei ($140B),Zhang Ping'an,-,"Shenzhen, China","Asian enterprises, developers"
56,IBM,IT & Cloud Services,"Cloud, AI, consulting, infrastructure",$140B,Arvind Krishna,Dario Gil,"Armonk, New York, USA","Enterprises, governments, banks"
57,Infovista,Network Performance & Automation,"Planning, testing, assurance",Private,José Duarte,-,"Massy, France","Telecom operators, enterprises"
58,Intel,Semiconductors,"CPUs, data center, AI, networking",$125B,Pat Gelsinger,Greg Lavender,"Santa Clara, USA","Dell, HP, Lenovo, AWS, Google"
59,interdigital,Wireless & Video R&D,"Licensing, standards, innovation",$0.5B,Liren Chen,-,"Wilmington, Delaware, USA","Tech companies, telecom OEMs"
60,KT Corporation,Telecommunications,"Mobile, broadband, media, cloud",$6B,Kim Young-Shub,-,"Seoul, South Korea","Korean consumers, enterprises"
61,Lumen Technology,Telecom & Cloud,"Networking, edge cloud, security",$3.5B,Kate Johnson,Andrew Dugan,"Monroe, Louisiana, USA","Enterprises, government agencies"
62,Media Tek,Semiconductors,"Mobile SoCs, connectivity chips",$40B,Rick Tsai,-,"Hsinchu, Taiwan","Smartphone OEMs, IoT vendors"
63,Micron Technology,Semiconductors,"Memory, storage solutions",$80B,Sanjay Mehrotra,-,"Boise, Idaho, USA","OEMs, cloud providers, automotive"
64,NEC Corporation,IT & Network Solutions,"Telecom, AI, cloud, public safety",$15B,Takayuki Morita,-,"Tokyo, Japan","Governments, telecom operators"
65,Nokia Software,Telecom Software,Cloud-native network software,Part of Nokia ($28.3B),Raghav Sahgal,-,"Espoo, Finland",Telecom operators globally
66,NTT DoCoMo,Telecommunications,"Mobile, 5G, smart life services",$60B,Motoyuki Ii,-,"Tokyo, Japan","Japanese consumers, enterprises"
67,Orange Business Services,Enterprise IT & Telecom,"Cloud, cybersecurity, IoT",Part of Orange ($30.1B),Aliette Mousnier-Lompré,-,"Paris, France",Global enterprises
68,Red Hat,Open Source Software,"Linux, Kubernetes, cloud tools",$34B (IBM),Matt Hicks,Chris Wright,"Raleigh, North Carolina, USA","Enterprises, developers"
69,Ribbon Communications,Telecom & Cloud Solutions,"VoIP, optical networking",$0.3B,Bruce McClelland,-,"Plano, Texas, USA","Telecom operators, enterprises"
